poNumber,vendor_name,orderDate,totalValue,shippingService,quantity,unitPrice,lineNote,sku,externalLineId,vendorAddress1,vendorAddress2,vendorCity,vendorState,vendorZip,vendorCountry,internalId,order_class_code
20200610VIT,CSB,10/28/2020,,TBA,186,,PHA Patriot Vital4 (60),810026150265,,,,,,,,,
20200623PGR,CSB,10/28/2020,,TBA,"30,000",,Patriot Power Greens Fortified Canisters (360g),810026150746,,,,,,,,,
20200626PPP,CSB,10/28/2020,,TBA,278,,PHA Patriot Power Protein Berry Double Size (786 grams),810026150357,,,,,,,,,
MEM2ENL1028,Visible Memphis,10/28/2020,,TQL,"2,500",,PHA Welcome Letter   ,1810102,,,,,,,,,
MEM2ENL1028,Visible Memphis,10/28/2020,,TQL,"2,500",,PHA SlimJim,1810101,,,,,,,,,
MEM2ENL1028,Visible Memphis,10/28/2020,,TQL,500,,PHA SlimJim - CA Version,1810100,,,,,,,,,
20200610Gold,CSB,10/28/2020,,TBA,"10,000",,Patriot Power Gold 15-Serving Canister,810026150852,,,,,,,,,
20200610Gold,CSB,10/28/2020,,TBA,"5,000",,Patriot Power Gold 30-Serving Canister,810026150869,,,,,,,,,
20200717Immune,CSB,10/28/2020,,TBA,"15,000",,Patriot Immune Formula - 60 Count Bottle,810026150890,,,,,,,,,
20200717PPP,CSB,10/28/2020,,TBA,5000,,Patriot Power Protein - 15 Serving Canister - Berry,810026150227,,,,,,,,,
20200717PPP,CSB,10/28/2020,,TBA,5000,,Patriot Power Protein -Vanilla 15 Serving Canister,810026150364,,,,,,,,,
20200717JMF60,CSB,10/28/2020,,TBA,2500,,Joint and Muscle Freedom 60ct Bottle,810026150043,,,,,,,,,
PO-2940,CSB,10/28/2020,,TBA,100000,,Patriot Power Greens Fortified Sample Packet,810026150753,,,,,,,,,
PO-4128,CSB,10/28/2020,,TBA,200000,,Patriot Power Greens Fortified Canister,810026150739,,,,,,,,,
PO-4128,CSB,10/28/2020,,TBA,150000,,Patriot Power Greens Fortified Double Supply,810026150746,,,,,,,,,
PO-4128,CSB,10/28/2020,,TBA,300000,,Patriot Power Greens Fortified Sample Packet,810026150753,,,,,,,,,
PO-4127,CSB,10/28/2020,,TBA,10000,,Patriot Power Protein -Vanilla 15 Serving Canister,810026150364,,,,,,,,,
PO-4127,CSB,10/28/2020,,TBA,5000,,Patriot Power Protein - Vanilla 30 Serving Canister,810026150906,,,,,,,,,
20200515UVPPC,Humless,10/28/2020,,TBA,"1,320",,Patriot PowerUV Disinfecting Power Bank,810026143854,,,,,,,,,
